CAR;PV;nbki;ind_noNbki;equi;ind_noEqui;def90_365
новый;0.661;0;1;0;1;0
новый;0.1565;697;0;659;0;0
новый;0.4259;0;1;747;0;0
новый;0.7143;741;0;726;0;0
новый;0.2988;701;0;603;0;0
б/у;0.1385;587;0;556;0;0
новый;0.3093;768;0;649;0;0
новый;0.4002;615;0;439;0;0
б/у;0.15;741;0;688;0;0
новый;0.4322;688;0;737;0;0
б/у;0.15;573;0;527;0;1
новый;0.1;567;0;403;0;0
новый;0.15;712;0;576;0;0
б/у;0.1528;0;1;487;0;1
новый;0.3803;0;1;698;0;0
новый;0.1504;543;0;558;0;0
новый;0.3229;677;0;0;1;0
новый;0.113;731;0;562;0;1
новый;0.1263;652;0;483;0;0
б/у;0.16;0;1;668;0;0
б/у;0.2;0;1;557;0;0
б/у;0.2004;618;0;458;0;0
новый;0.2;653;0;656;0;0
новый;0.3461;544;0;614;0;0
новый;0.3004;695;0;0;1;0
б/у;0.2494;701;0;527;0;0
б/у;0.4;521;0;327;0;0
новый;0.4534;656;0;603;0;0
новый;0.4096;706;0;600;0;0
новый;0.3023;465;0;0;1;0
новый;0.2206;0;1;0;1;0
новый;0.3311;0;1;0;1;0
новый;0.409;0;1;0;1;0
новый;0.1502;669;0;462;0;0
новый;0.1027;589;0;453;0;0
б/у;0.1505;671;0;531;0;0
новый;0.4239;744;0;727;0;0
новый;0.3008;0;1;0;1;0
новый;0.177;603;0;443;0;0
новый;0.6361;738;0;677;0;0
новый;0.5468;638;0;0;1;0
новый;0.3013;0;1;0;1;0
новый;0.6873;760;0;0;1;0
новый;0.1004;0;1;662;0;0
новый;0.1512;695;0;0;1;0
новый;0.5528;0;1;629;0;0
новый;0.1019;676;0;573;0;0
новый;0.3041;566;0;451;0;0
б/у;0.2;592;0;551;0;0
новый;0.2115;0;1;0;1;0
новый;0.1506;668;0;716;0;0
новый;0.6836;0;1;0;1;0
новый;0.5121;763;0;0;1;0
новый;0.4868;675;0;626;0;0
новый;0.1503;726;0;0;1;0
б/у;0.3232;0;1;0;1;0
новый;0.3367;629;0;603;0;0
б/у;0.1511;593;0;447;0;0
новый;0.24;0;1;608;0;0
новый;0.2005;559;0;317;0;0
б/у;0.1525;0;1;506;0;0
новый;0.3363;719;0;555;0;0
новый;0.7339;687;0;566;0;0
б/у;0.5467;644;0;540;0;0
новый;0.4762;0;1;618;0;0
б/у;0.1818;741;0;299;0;1
новый;0.745;646;0;0;1;0
новый;0.5292;648;0;0;1;0
новый;0.1163;750;0;580;0;0
новый;0.267;756;0;460;0;1
новый;0.1;751;0;625;0;0
новый;0.2947;724;0;610;0;0
новый;0.1;700;0;574;0;0
новый;0.1104;730;0;0;1;0
новый;0.5698;705;0;584;0;0
б/у;0.1882;634;0;576;0;0
новый;0.1508;670;0;544;0;0
новый;0.2608;0;1;677;0;0
новый;0.3332;0;1;642;0;0
б/у;0.4793;686;0;589;0;0
б/у;0.15;495;0;385;0;1
новый;0.3124;646;0;631;0;0
новый;0.2;697;0;626;0;0
новый;0.3163;667;0;477;0;0
б/у;0.151;679;0;0;1;1
б/у;0.1571;719;0;437;0;0
б/у;0.15;627;0;708;0;0
новый;0.4203;761;0;0;1;0
б/у;0.3562;501;0;517;0;1
новый;0.6303;760;0;648;0;0
новый;0.1501;722;0;678;0;0
новый;0.4316;710;0;650;0;0
б/у;0.1538;765;0;627;0;0
новый;0.1587;735;0;0;1;0
новый;0.2303;633;0;458;0;1
б/у;0.5;651;0;456;0;0
б/у;0.15;687;0;580;0;0
б/у;0.2;575;0;515;0;0
новый;0.101;595;0;0;1;0
новый;0.3;683;0;588;0;0
новый;0.5975;705;0;561;0;0
новый;0.2;702;0;513;0;0
новый;0.102;447;0;0;1;0
новый;0.4644;604;0;771;0;0
новый;0.7375;586;0;547;0;0
новый;0.1513;536;0;0;1;0
новый;0.4017;0;1;0;1;0
новый;0.4011;736;0;646;0;0
б/у;0.3883;660;0;586;0;0
новый;0.3414;713;0;658;0;0
новый;0.15;720;0;599;0;0
б/у;0.2778;635;0;631;0;0
новый;0.2898;0;1;0;1;0
новый;0.4;735;0;652;0;0
б/у;0.1718;714;0;638;0;0
новый;0.2105;448;0;0;1;0
б/у;0.1618;714;0;538;0;0
новый;0.1374;560;0;583;0;0
б/у;0.1502;668;0;574;0;1
новый;0.1726;752;0;653;0;0
новый;0.301;665;0;594;0;0
б/у;0.15;0;1;565;0;0
новый;0.4006;730;0;613;0;0
новый;0.5396;0;1;622;0;0
новый;0.1007;564;0;411;0;0
новый;0.1;684;0;0;1;0
б/у;0.2188;667;0;655;0;0
новый;0.2328;749;0;685;0;0
новый;0.3061;0;1;630;0;0
новый;0.1502;0;1;432;0;0
новый;0.302;718;0;634;0;0
б/у;0.1523;0;1;0;1;0
новый;0.3236;689;0;713;0;0
б/у;0.1515;0;1;581;0;0
новый;0.195;599;0;527;0;0
новый;0.1624;0;1;0;1;0
новый;0.1506;570;0;509;0;0
новый;0.3794;671;0;524;0;0
новый;0.3738;770;0;589;0;0
новый;0.1;0;1;0;1;0
новый;0.3023;630;0;571;0;0
новый;0.1683;599;0;353;0;0
новый;0.5365;0;1;0;1;0
новый;0.2204;0;1;0;1;0
новый;0.4012;743;0;717;0;0
новый;0.4844;564;0;0;1;0
б/у;0.2;690;0;624;0;0
б/у;0.4762;0;1;752;0;0
новый;0.1;634;0;0;1;0
новый;0.2045;605;0;464;0;1
новый;0.1;0;1;0;1;0
новый;0.3953;0;1;681;0;0
новый;0.5085;758;0;0;1;0
новый;0.202;736;0;653;0;0
б/у;0.1807;709;0;566;0;0
новый;0.3004;735;0;654;0;0
новый;0.3083;757;0;648;0;0
новый;0.157;617;0;0;1;1
б/у;0.7246;720;0;0;1;0
новый;0.349;766;0;669;0;0
б/у;0.15;773;0;593;0;0
новый;0.1003;489;0;345;0;0
б/у;0.4936;674;0;668;0;0
б/у;0.15;716;0;600;0;0
б/у;0.1633;654;0;622;0;0
новый;0.3008;690;0;490;0;0
новый;0.1501;695;0;520;0;0
новый;0.4005;0;1;0;1;0
новый;0.7273;574;0;0;1;0
новый;0.4856;0;1;702;0;0
новый;0.5464;666;0;0;1;0
новый;0.6834;0;1;0;1;0
новый;0.11;581;0;561;0;1
новый;0.1466;585;0;632;0;0
новый;0.3205;0;1;0;1;0
новый;0.4803;0;1;628;0;0
новый;0.2376;632;0;435;0;0
новый;0.1;613;0;666;0;0
новый;0.202;757;0;0;1;0
б/у;0.4741;592;0;490;0;0
новый;0.1004;0;1;661;0;0
новый;0.3556;766;0;610;0;0
новый;0.1036;661;0;761;0;0
новый;0.3;624;0;606;0;0
б/у;0.2264;677;0;612;0;0
б/у;0.2817;713;0;0;1;0
новый;0.1176;0;1;660;0;0
новый;0.15;0;1;592;0;0
б/у;0.45;509;0;514;0;0
б/у;0.2024;535;0;396;0;0
новый;0.3397;0;1;0;1;0
новый;0.1351;704;0;497;0;0
новый;0.1876;522;0;499;0;0
новый;0.1575;533;0;425;0;0
новый;0.4825;759;0;0;1;0
б/у;0.4274;734;0;643;0;0
б/у;0.6349;595;0;0;1;0
новый;0.4;634;0;0;1;0
б/у;0.2;744;0;0;1;1
новый;0.1862;501;0;535;0;0
новый;0.1133;749;0;653;0;0
б/у;0.3111;726;0;660;0;0
новый;0.1867;722;0;637;0;0
новый;0.4;0;1;0;1;0
новый;0.2287;0;1;0;1;0
новый;0.1613;0;1;571;0;1
б/у;0.3008;0;1;0;1;0
новый;0.4302;0;1;657;0;0
новый;0.3235;680;0;550;0;0
новый;0.2596;549;0;532;0;0
б/у;0.251;631;0;496;0;0
новый;0.5413;0;1;678;0;0
новый;0.7047;0;1;0;1;0
б/у;0.2;711;0;0;1;0
новый;0.6001;0;1;0;1;0
новый;0.1867;657;0;583;0;0
новый;0.3026;0;1;0;1;0
б/у;0.15;630;0;632;0;0
новый;0.1515;723;0;703;0;0
б/у;0.5263;0;1;0;1;1
новый;0.4033;739;0;664;0;0
новый;0.2063;690;0;661;0;0
новый;0.6491;474;0;0;1;0
новый;0.1;0;1;0;1;0
б/у;0.2778;698;0;677;0;0
новый;0.5043;0;1;0;1;0
новый;0.1648;648;0;576;0;0
б/у;0.2857;603;0;0;1;0
новый;0.1059;692;0;537;0;0
новый;0.1141;0;1;655;0;0
б/у;0.2017;623;0;469;0;0
новый;0.1385;650;0;567;0;0
новый;0.184;755;0;0;1;0
б/у;0.1511;638;0;431;0;0
новый;0.1053;646;0;632;0;0
б/у;0.15;649;0;531;0;0
новый;0.5727;0;1;0;1;0
новый;0.1515;641;0;0;1;0
б/у;0.2727;0;1;564;0;0
новый;0.3004;749;0;673;0;0
новый;0.1671;576;0;471;0;0
б/у;0.1517;589;0;515;0;0
новый;0.1343;786;0;0;1;0
новый;0.1562;0;1;0;1;0
новый;0.6725;644;0;0;1;0
новый;0.15;582;0;376;0;1
новый;0.1;711;0;597;0;0
новый;0.1272;589;0;0;1;0
новый;0.3953;650;0;727;0;0
новый;0.4205;0;1;648;0;0
новый;0.2179;717;0;0;1;0
новый;0.2;0;1;610;0;0
новый;0.15;0;1;0;1;0
новый;0.1009;0;1;661;0;0
новый;0.4091;0;1;720;0;0
новый;0.8221;778;0;651;0;0
б/у;0.2632;724;0;674;0;0
новый;0.6954;0;1;0;1;0
б/у;0.449;656;0;567;0;0
новый;0.1212;659;0;573;0;0
новый;0.3153;724;0;618;0;0
новый;0.2017;630;0;605;0;0
б/у;0.15;626;0;494;0;0
новый;0.5152;0;1;0;1;0
новый;0.7509;706;0;0;1;0
новый;0.309;0;1;0;1;0
новый;0.4202;715;0;623;0;0
новый;0.15;601;0;570;0;0
новый;0.4853;760;0;754;0;0
новый;0.5208;641;0;468;0;0
новый;0.4182;763;0;620;0;0
б/у;0.15;605;0;485;0;0
б/у;0.1695;683;0;343;0;0
новый;0.1084;626;0;642;0;0
новый;0.3155;570;0;546;0;0
новый;0.1008;682;0;717;0;0
б/у;0.3125;574;0;0;1;0
новый;0.1813;602;0;623;0;0
б/у;0.2;0;1;0;1;0
новый;0.4773;713;0;658;0;0
б/у;0.2632;0;1;0;1;0
новый;0.1;556;0;362;0;0
б/у;0.7;0;1;539;0;0
новый;0.1519;731;0;602;0;0
новый;0.7524;0;1;0;1;0
новый;0.1;605;0;616;0;0
новый;0.5482;736;0;660;0;0
новый;0.5887;690;0;589;0;0
новый;0.2571;771;0;0;1;0
б/у;0.15;0;1;0;1;0
новый;0.304;646;0;458;0;0
новый;0.1;645;0;521;0;0
новый;0.3;727;0;696;0;0
б/у;0.2703;691;0;0;1;0
новый;0.3321;654;0;344;0;0
новый;0.536;716;0;633;0;0
новый;0.4592;715;0;718;0;0
новый;0.655;726;0;632;0;0
новый;0.2013;683;0;537;0;0
новый;0.1011;0;1;678;0;0
новый;0.3413;0;1;662;0;0
новый;0.1005;685;0;0;1;0
новый;0.1556;489;0;339;0;0
новый;0.1733;0;1;547;0;0
новый;0.1017;658;0;651;0;0
новый;0.1154;0;1;0;1;0
новый;0.1484;569;0;0;1;0
новый;0.4021;684;0;0;1;0
новый;0.3389;778;0;714;0;0
новый;0.3221;0;1;0;1;0
новый;0.4307;0;1;0;1;0
новый;0.3017;656;0;606;0;0
б/у;0.3254;751;0;596;0;1
новый;0.1523;630;0;0;1;0
новый;0.1507;0;1;0;1;1
б/у;0.15;0;1;472;0;0
б/у;0.3;667;0;564;0;0
новый;0.15;599;0;397;0;0
новый;0.1526;601;0;0;1;0
новый;0.1602;0;1;606;0;0
б/у;0.1522;745;0;0;1;0
б/у;0.2;706;0;0;1;1
новый;0.3078;633;0;604;0;0
б/у;0.2;606;0;485;0;1
новый;0.2;0;1;0;1;0
новый;0.2387;0;1;533;0;0
новый;0.2355;688;0;536;0;0
б/у;0.4512;584;0;303;0;1
новый;0.1694;696;0;511;0;0
новый;0.1031;686;0;556;0;0
б/у;0.15;0;1;0;1;0
новый;0.1004;609;0;577;0;0
б/у;0.371;619;0;528;0;0
новый;0.7351;611;0;0;1;0
новый;0.2129;613;0;0;1;0
новый;0.3004;0;1;0;1;0
новый;0.204;614;0;527;0;0
новый;0.202;0;1;554;0;0
новый;0.1546;591;0;623;0;0
б/у;0.6044;0;1;0;1;0
новый;0.7407;690;0;0;1;0
новый;0.1002;697;0;640;0;0
новый;0.7752;583;0;0;1;0
б/у;0.2105;0;1;0;1;0
б/у;0.15;628;0;450;0;0
б/у;0.2;638;0;641;0;0
новый;0.1641;683;0;614;0;0
б/у;0.3182;559;0;592;0;0
новый;0.2773;654;0;498;0;0
новый;0.1443;710;0;0;1;0
новый;0.1;666;0;558;0;1
б/у;0.303;725;0;0;1;0
новый;0.1519;682;0;448;0;0
б/у;0.2241;488;0;0;1;0
б/у;0.1875;722;0;576;0;0
б/у;0.2;662;0;477;0;1
новый;0.1154;760;0;531;0;0
новый;0.1009;0;1;0;1;0
новый;0.1008;597;0;570;0;0
новый;0.2772;726;0;632;0;0
б/у;0.2;601;0;352;0;1
б/у;0.1538;0;1;432;0;1
новый;0.2247;526;0;0;1;1
новый;0.4011;699;0;534;0;0
новый;0.1497;676;0;665;0;0
новый;0.1691;0;1;639;0;0
б/у;0.2029;624;0;527;0;0
новый;0.2321;736;0;619;0;0
б/у;0.1667;562;0;0;1;0
новый;0.1501;0;1;512;0;0
новый;0.478;703;0;615;0;0
новый;0.5541;736;0;669;0;0
б/у;0.2435;0;1;0;1;0
новый;0.2088;508;0;0;1;0
новый;0.4265;741;0;704;0;0
новый;0.3069;582;0;548;0;0
новый;0.4529;721;0;581;0;0
новый;0.6481;0;1;690;0;0
новый;0.1111;632;0;519;0;0
новый;0.1719;668;0;365;0;1
б/у;0.15;632;0;0;1;0
